company_name,ticker_symbol,market_cap,url
Comcast Corporation Class A Common Stock,CMCSA,"169,455,857,433",https://www.nasdaq.com/market-activity/stocks/cmcsa
AT&T Inc. 5.625% Global Notes due 2067,TBC,"168,168,473,175",https://www.nasdaq.com/market-activity/stocks/tbc
Wells Fargo & Company Common Stock,WFC,"167,418,590,815",https://www.nasdaq.com/market-activity/stocks/wfc
"Pfizer, Inc. Common Stock",PFE,"162,503,774,544",https://www.nasdaq.com/market-activity/stocks/pfe
Verizon Communications Inc. Common Stock,VZ,"160,806,888,457",https://www.nasdaq.com/market-activity/stocks/vz
Danaher Corporation Common Stock,DHR,"160,709,256,501",https://www.nasdaq.com/market-activity/stocks/dhr
Intuit Inc. Common Stock,INTU,"160,655,270,400",https://www.nasdaq.com/market-activity/stocks/intu
AT&T Inc. 5.350% Global Notes due 2066,TBB,"159,874,449,838",https://www.nasdaq.com/market-activity/stocks/tbb
Lloyds Banking Group Plc American Depositary Shares,LYG,"152,982,060,000",https://www.nasdaq.com/market-activity/stocks/lyg
Boeing Company (The) Common Stock,BA,"148,037,822,226",https://www.nasdaq.com/market-activity/stocks/ba
QUALCOMM Incorporated Common Stock,QCOM,"147,995,610,000",https://www.nasdaq.com/market-activity/stocks/qcom
International Business Machines Corporation Common Stock,IBM,"147,888,685,379",https://www.nasdaq.com/market-activity/stocks/ibm
Amgen Inc. Common Stock,AMGN,"144,027,110,626",https://www.nasdaq.com/market-activity/stocks/amgn
"ServiceNow, Inc. Common Stock",NOW,"143,311,400,000",https://www.nasdaq.com/market-activity/stocks/now
Texas Instruments Incorporated Common Stock,TXN,"142,615,288,724",https://www.nasdaq.com/market-activity/stocks/txn
Ryanair Holdings plc American Depositary Shares,RYAAY,"142,036,280,000",https://www.nasdaq.com/market-activity/stocks/ryaay
Philip Morris International Inc Common Stock,PM,"141,750,191,038",https://www.nasdaq.com/market-activity/stocks/pm
Union Pacific Corporation Common Stock,UNP,"140,067,216,426",https://www.nasdaq.com/market-activity/stocks/unp
Morgan Stanley Common Stock,MS,"135,047,116,802",https://www.nasdaq.com/market-activity/stocks/ms
"United Parcel Service, Inc. Common Stock",UPS,"133,155,969,561",https://www.nasdaq.com/market-activity/stocks/ups
ConocoPhillips Common Stock,COP,"133,072,808,060",https://www.nasdaq.com/market-activity/stocks/cop
"Caterpillar, Inc. Common Stock",CAT,"132,107,490,809",https://www.nasdaq.com/market-activity/stocks/cat
S&P Global Inc. Common Stock,SPGI,"131,592,384,000",https://www.nasdaq.com/market-activity/stocks/spgi
General Electric Company Common Stock,GE,"131,248,472,925",https://www.nasdaq.com/market-activity/stocks/ge
Royal Bank Of Canada Common Stock,RY,"129,652,665,252",https://www.nasdaq.com/market-activity/stocks/ry
