ticker_symbol,total_revenue,gross_profit,net_income,total_assets,total_liabilities,year
XOM,"$255,583,000","$74,956,000","$14,340,000","$362,597,000","$170,947,000",2019
AVGO,"$35,819,000","$24,690,000","$14,082,000","$72,861,000","$48,873,000",2023
AVGO,"$33,203,000","$22,095,000","$11,495,000","$73,249,000","$50,540,000",2022
AVGO,"$27,450,000","$16,844,000","$6,736,000","$75,570,000","$50,581,000",2021
AVGO,"$23,888,000","$13,516,000","$2,960,000","$75,933,000","$52,032,000",2020
MA,"$22,237,000","$22,237,000","$9,930,000","$38,724,000","$32,405,000",2022
MA,"$18,884,000","$18,884,000","$8,687,000","$37,669,000","$30,328,000",2021
MA,"$15,301,000","$15,301,000","$6,411,000","$33,584,000","$27,164,000",2020
MA,"$16,883,000","$16,883,000","$8,118,000","$29,236,000","$23,269,000",2019
JNJ,"$94,943,000","$63,854,000","$17,941,000","$187,378,000","$110,574,000",2023
JNJ,"$93,775,000","$63,920,000","$20,878,000","$182,018,000","$107,995,000",2022
JNJ,"$82,584,000","$54,157,000","$14,714,000","$174,894,000","$111,616,000",2021
JNJ,"$82,059,000","$54,503,000","$15,119,000","$157,728,000","$98,257,000",2019
PG,"$82,006,000","$39,246,000","$14,653,000","$120,829,000","$74,052,000",2023
PG,"$80,187,000","$38,030,000","$14,742,000","$117,208,000","$70,619,000",2022
PG,"$76,118,000","$39,010,000","$14,306,000","$119,307,000","$72,929,000",2021
PG,"$70,950,000","$35,700,000","$13,027,000","$120,700,000","$74,179,000",2020
HD,"$157,403,000","$52,778,000","$17,105,000","$76,445,000","$74,883,000",2023
HD,"$151,157,000","$50,832,000","$16,433,000","$71,876,000","$73,572,000",2022
HD,"$132,110,000","$44,853,000","$12,866,000","$70,581,000","$67,282,000",2021
HD,"$110,225,000","$37,572,000","$11,242,000","$51,236,000","$54,352,000",2020
BHP,"$53,817,000","$53,817,000","$12,921,000","$101,296,000","$56,800,000",2023
BHP,"$65,098,000","$65,098,000","$30,900,000","$95,166,000","$50,209,000",2022
BHP,"$56,921,000","$56,921,000","$11,304,000","$108,927,000","$57,663,000",2021
BHP,"$38,924,000","$38,924,000","$7,956,000","$105,733,000","$57,868,000",2020
ORCL,"$49,954,000","$36,390,000","$8,503,000","$134,384,000","$132,828,000",2023
ORCL,"$42,440,000","$33,563,000","$6,717,000","$109,297,000","$115,065,000",2022
ORCL,"$40,479,000","$32,624,000","$13,746,000","$131,107,000","$125,155,000",2021
ORCL,"$39,068,000","$31,130,000","$10,135,000","$115,438,000","$102,721,000",2020
ADBE,"$17,606,000","$15,441,000","$4,756,000","$27,165,000","$13,114,000",2022
